fLength,fWidth,fSize,fAsym,fM3Long,fAlpha,class
28.7967,16.0021,2.6449,27.7004,22.011,40.092,0
31.6036,11.7235,2.5185,26.2722,23.8238,6.3609,0
162.052,136.031,4.0612,116.741,-64.858,76.96,0
23.8172,9.5728,2.3385,27.2107,-6.4633,10.449,0
75.1362,30.9205,3.1611,-5.5277,28.5525,4.648,0
51.624,21.1502,2.9085,50.8761,43.1887,3.613,0
48.2468,17.3565,3.0332,8.573,38.0957,4.792,0
26.7897,13.7595,2.5521,29.6339,20.456,0.812,0
96.2327,46.5165,4.154,110.355,85.0486,4.854,0
46.7619,15.1993,2.5786,24.7548,43.8771,7.875,0
62.7766,29.9104,3.3331,-33.9065,57.5848,9.9144,0
18.8562,16.46,2.4385,25.1269,-6.5401,11.461,0
45.6321,22.71,3.0441,-18.3986,-20.6427,0.3822,0
33.1818,12.4655,2.4955,-17.0341,-22.0762,41.929,0
60.458,33.1061,3.1944,14.3,-33.8765,8.292,0
29.4741,22.4581,2.6258,18.1242,22.7035,48.0364,0
36.1741,17.6865,2.946,-4.7746,-18.9697,0.254,0
46.2915,16.0328,2.7756,49.9706,33.3653,38.707,0
46.0588,18.787,3.2217,49.2704,34.1066,8.686,0
44.7394,15.6364,2.638,14.043,37.2246,3.251,0
91.6423,71.8818,3.8484,-56.7107,72.3016,16.622,0
86.0486,21.8287,3.3587,-58.7854,57.8212,2.005,0
90.5299,17.8721,3.033,-57.417,84.6189,2.039,0
20.3836,9.0462,2.3365,22.27,12.9487,43.0032,0
87.2384,27.935,2.8848,-18.2102,66.6867,4.4265,0
107.338,29.1356,3.5265,-47.1175,89.5136,3.312,0
27.2304,19.2817,2.6375,23.0406,23.3428,77.5379,0
26.7065,18.907,2.6781,9.1616,18.6858,26.881,0
23.5647,9.9926,2.2095,30.0056,-13.8665,26.5328,0
34.7486,19.2286,2.5629,30.3637,-16.3092,1.521,0
50.4829,25.9699,3.3194,32.1193,39.0162,22.471,0
87.4217,26.7866,3.4231,10.4779,68.3446,0.3647,0
34.9205,15.9621,2.8457,15.8025,11.8249,9.59,0
28.6609,19.1223,2.8609,-10.3243,-23.1846,20.7574,0
75.2057,31.6833,3.1334,-58.1243,43.08,1.5926,0
84.61,36.4657,3.6809,54.4505,86.0228,17.575,0
45.6094,20.8103,3.0438,-0.5056,37.7755,4.25,0
37.742,24.3346,3.0404,5.998,34.4104,24.216,0
38.1817,15.9235,2.6906,10.1326,26.1095,2.572,0
73.6263,35.582,3.4533,-48.0377,42.6119,4.471,0
63.3453,24.3855,3.4233,-48.6381,-19.4147,0.64,0
16.7608,11.3962,2.2989,-0.8645,5.0177,62.618,0
27.6746,18.9149,2.5422,30.937,20.242,19.3719,0
13.2617,10.7145,2.1319,14.7178,2.4666,68.604,0
61.6463,21.171,3.4303,54.8329,52.4882,4.2131,0
18.6533,15.1674,2.4338,-4.2971,16.0316,4.7998,0
38.1627,25.1091,3.1041,37.2749,22.8564,5.5119,0
12.974,10.9058,2.1021,13.7506,-6.2434,42.2408,0
63.2886,26.427,3.4434,-27.3566,54.6506,0.9753,0
24.999,14.6867,2.5434,5.8044,19.2386,9.862,0
35.9913,19.4494,2.7466,-34.0069,-25.3956,0.2425,0
44.0846,23.0143,2.8974,25.9525,-35.1309,16.119,0
65.3574,22.3483,2.7376,-89.2907,-31.2444,4.874,0
43.7724,20.353,2.8982,32.9358,38.4208,16.25,0
33.4858,15.0766,2.7969,33.3189,19.1818,12.9506,0
92.8723,25.685,3.1553,-25.5033,51.797,7.7301,0
19.6562,9.7376,2.238,-24.0292,-9.836,63.03,0
96.8578,39.4755,3.9903,-59.0369,66.0291,3.8107,0
95.5207,34.5134,4.1295,21.1988,88.912,0.084,0
22.7945,14.8676,2.567,-8.7481,-20.3785,6.7835,0
66.7336,24.94,3.4357,27.3604,67.0539,9.941,0
45.0172,18.4512,2.699,-10.746,-37.5851,8.718,0
99.6416,13.5477,2.4362,48.7119,92.2613,74.5664,0
20.8112,7.1717,2.1255,-1.5465,8.9641,85.103,0
96.3755,31.3902,3.359,-34.801,61.0636,9.782,0
30.3331,14.9817,2.4526,-32.2094,-20.1641,0.9075,0
20.9491,7.0366,2.1414,-22.9802,-12.1656,40.656,0
49.6143,28.1482,3.2641,44.0893,26.0127,0.67,0
26.9766,9.7238,2.3064,-12.3167,16.287,3.675,0
29.817,19.8364,2.7372,10.0066,23.9409,15.9328,0
23.0242,13.2275,2.2188,-25.6063,-10.429,33.4008,0
66.1331,25.9259,3.1984,42.2957,50.5528,11.5159,0
34.9502,16.0121,3.0663,-12.5192,11.1413,17.6684,0
23.6353,11.4736,2.4661,-15.6487,-18.8315,43.565,0
20.4754,15.7636,2.4425,2.48,-10.4986,13.8089,0
59.7337,17.0227,2.7997,51.0255,54.5868,5.094,0
22.6397,10.2608,2.1492,23.4366,18.6537,14.3756,0
92.937,22.1354,3.0885,18.6509,48.5227,3.497,0
86.5636,36.8235,3.8026,-24.0564,60.9768,2.643,0
39.3737,12.0817,2.7763,18.1724,13.6391,3.7449,0
41.2629,20.9786,3.1361,23.2559,43.3331,7.6147,0
89.8648,33.6384,3.8899,22.0971,98.5182,3.689,0
24.999,17.775,2.5993,-16.3719,-25.5307,81.8671,0
19.5793,14.6976,2.2934,-6.8054,17.3916,13.17,0
21.8344,6.832,2.1804,25.981,-0.1704,35.4993,0
87.5837,33.3742,3.9208,99.2131,75.0174,2.428,0
53.7339,15.4395,2.4298,-45.8108,-40.3603,1.886,0
34.889,19.6402,2.8429,29.9825,29.1531,8.376,0
41.0677,16.2578,2.7308,47.4405,37.9125,17.671,0
60.0261,12.245,2.8052,3.5656,55.2047,1.3841,0
70.0322,30.2255,3.1573,-66.4032,48.4611,2.936,0
74.5714,23.0735,2.9914,-36.5281,63.076,4.029,0
77.9219,31.8209,3.7043,-2.4392,58.1668,0.2442,0
39.1755,26.3821,2.7966,-38.1241,25.4219,6.4974,0
18.1607,10.4502,2.2718,1.7266,-7.66,43.3661,0
25.4762,12.0898,2.4048,7.0323,15.7982,24.847,0
23.4494,16.2843,2.5605,-8.8017,-15.9867,83.8081,0
32.0586,15.6976,2.5072,-2.3114,-17.7455,12.1807,0
18.4475,11.7563,2.4074,-0.0948,-6.5384,69.2291,0
41.4001,25.658,3.0414,39.265,30.5051,0.6344,0
92.5854,11.2825,3.0071,-68.649,-48.92,2.5099,0
